source_row,quantity,lot_classification,seed_category,equipment_needed,clean_equipment_name,specification,unit,module,remarks
172,1,Other Equipment,Other Equipment,Heavy Duty Pressure Cooker,Heavy Duty Pressure Cooker,Aluminum or stainless steel pressure cooker; heavy-duty; suitable for food processing,unit,15,
173,1,Other Equipment,Other Equipment,Automatic Cap Sealing Machine,Automatic Cap Sealing Machine,Semi-automatic cap sealing machine; suitable for bottles and jars,unit,15,
174,1,Other Equipment,Other Equipment,Heavy Duty Food Blender,Heavy Duty Food Blender,Commercial-type food blender; stainless steel jar; high-power motor,unit,15,
175,1,Other Equipment,Other Equipment,Heavy Duty Deep Fryer Stainless Steel,Heavy Duty Deep Fryer Stainless Steel,Electric deep fryer; stainless steel body; temperature control,unit,15,
176,1,Supplies and Materials,Supplies and Materials,Polystyrene Boxes,Polystyrene Boxes,Food-grade polystyrene storage boxes; insulated,pcs,15,
177,1,Supplies and Materials,Supplies and Materials,Polypropylene Boxes,Polypropylene Boxes,Food-grade polypropylene boxes; stackable; durable,pcs,15,
178,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Peanut Grinding Machine,Peanut Grinding Machine,Electric peanut grinding machine; stainless steel contact parts,unit,15,
179,1,Other Equipment,Other Equipment,Fruit crusher,Fruit Crusher,Mechanical or electric fruit crusher; food-grade materials,unit,15,
180,1,Other Equipment,Other Equipment,Heavy Duty Blender,Heavy Duty Blender,"16"",Large-capacity blender; suitable for bulk food preparation",pcs,15,
181,1,Other Equipment,Other Equipment,Mini food crops and coffee grinder machine,Mini Food Crops and Coffee Grinder Machine,Electric grinder; stainless steel grinding chamber,unit,15,
182,1,Other Equipment,Other Equipment,Oven Toaster,Oven Toaster,15.00 x 8.25 x 8.25 Inches,pcs,15,
183,1,Other Equipment,Other Equipment,Frying pan,Frying Pan,Heavy-duty frying pan; non-reactive surface,unit,15,
184,1,Other Equipment,Other Equipment,Gas and Electrical Stove with oven (mp98271x),Gas and Electrical Stove with Oven,"Combination gas and electric stove with oven; dimensions approx., L-600, W - 945, H - 895",unit,15,
185,1,Other Equipment,Other Equipment,Grill Pan,Grill Pan,Heavy-duty grill pan; heat-resistant coating,pcs,15,
186,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Refractometer,Refractometer,"37×26×14cm, Handheld refractometer; suitable for food and liquid analysis",pcs,15,
187,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Electronic Top Loading Balance 20kg Capacity (0.01),Electronic Top Loading Balance 20kg Capacity (0.01),Digital weighing balance; capacity ≥20 kg; LCD display,unit,15,
188,1,Other Equipment,Other Equipment,Heavy Duty Pressure Cooker,Heavy Duty Pressure Cooker,5-liter capacity pressure cooker; heavy-duty construction,unit,15,
189,1,Other Equipment,Other Equipment,Weighing scale,Weighing Scale,Digital weighing scale; suitable for kitchen and processing use,unit,15,
190,1,Other Equipment,Other Equipment,Stainless steel table,Stainless Steel Table,"Stainless Steel-Open Base Table with Sink and 4 1/2"" BackSplash. Sink is 14 x 10 and has 12"" depth. Table is 12 Feet long and 24"" deep.",unit,15,
191,1,Other Equipment,Other Equipment,Stainless steel/ food tray,Stainless Steel/ Food Tray,Stainless steel open-base table with sink; food-grade,unit,15,
192,1,,Other Equipment,Forceps,Forceps,Stainless steel forceps; laboratory/food-handling use,pcs,15,
193,1,Other Equipment,Other Equipment,Measuring Cup,Measuring Cup,Food-grade measuring cups,pcs,15,
194,1,Other Equipment,Other Equipment,Measuring Spoon,Measuring Spoon,Food-grade measuring spoon,pcs,15,
195,1,Other Equipment,Other Equipment,Non-sticky Skiller Pan,Non-Stick Skillet Pan,Non-stick skillet pan; heat-resistant,pcs,15,
196,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Sausage Stuffer (f-dick),Sausage Stuffer,Manual or semi-automatic sausage stuffer; multiple nozzle sizes,unit,15,
197,1,,Technical and Scientific Equipment,Assorted Knives,Assorted Knives,Assorted kitchen knife set; stainless steel,set,15,
198,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Bacon Skinner,Bacon Skinner,Electric bacon skinner; stainless steel body; food-grade,unit,15,
199,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Bacon Slicer,Bacon Slicer,Electric bacon slicer; stainless steel blade and body; suitable for meat processing,unit,15,
200,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Brine Gun,Brine Gun,Stainless steel brine injection gun; food-grade; manual or pneumatic,unit,15,
201,1,Other Equipment,Other Equipment,Chiller,Chiller,Meat chiller; temperature range 0–4 °C; stainless interior,unit,15,
202,1,Other Equipment,Other Equipment,Meat Grinder,Meat Grinder,Heavy-duty electric meat grinder; stainless steel contact parts,unit,15,
203,1,Other Equipment,Other Equipment,Meat Slicer,Meat Slicer,Electric meat slicer; adjustable thickness; stainless steel blade,unit,15,
204,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Water baths and magnetic stirrers,Water Baths and Magnetic Stirrers,"Water baths and magnetic stirrers ""Tank capacity 4 litres
Temperature setting range +25°C ... +100°C
Temperature control range 5°C above ambient ... +100°C
Temperature setting resolution 0.1°C
Temperature stability ±0.1°C
Temperature uniformity at +37°C ±0.1°C
Stirring speed control range 250–1,000 rpm
Digital time setting 1 min–96 hrs / non–stop (increment 1 min)
Display LCD, 2 х 16 signs
Digital setting of temperature, time and mixing speed +
Plastic lid with stainless steel interior included +
Quiet operation +
Working volume 235х135х110 mm
Overall dimensions (W×D×H) 340×270×250 mm
Weight 3.4 kg
Nominal operating voltage 230 V, 50/60 Hz or 120 V, 50/60 Hz
Power consumption 230 V, 50 Hz/
600 W (2.6 A)

120 V, 60 Hz/
670 W (5.6 А)

100 V, 50/60 Hz/
600 W (6.0 A)"" pcs 1  50,000.00   50,000.00",pcs,"12,13, and 15",
205,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Nitrogen tank,Nitrogen Tank,Liquid nitrogen storage tank; approx. 22 cu. ft. capacity; vacuum-insulated,pcs,13 and 15,
206,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Semen density analyzing equipment,Semen Density Analyzing Equipment,W-400mm× D-560mm× H-380 mm,pcs,16,
207,1,Supplies and Materials,Supplies and Materials,Insemination Catheters (foam and spiral tip) - Pig,Insemination Catheters (foam and Spiral Tip) - Pig,60x39x29cm,pcs,16,
208,1,Supplies and Materials,Supplies and Materials,Insemination Catheters (foam and spiral tip) - Cattle,Insemination Catheters (foam and Spiral Tip) - Cattle,60x39x29cm,pcs,16,
209,1,,Supplies and Materials,Short and long term extenders,Short and Long Term Extenders,25×106 pms/ml (n=51) or 5×106 pms/ml (n=10,pcs,1 to 16,
210,1,Technical and Scientific Equipment,Technical and Scientific Equipment,"Semen Packaging including bottles, tubes and bags set","Semen Packaging Including Bottles, Tubes and Bags Set","Semen straws, tubes, and storage bags; approx. 0.25 mL capacity",pcs,16,
211,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Semen tube sealing equipments set,Semen Tube Sealing Equipments Set,Optical or digital semen density analyzer; approx. 400 × 560 × 380 mm,pcs,16,
212,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Emulsifying machine,Emulsifying Machine,"capacity range - 1,750-3,500 kg/h, operating range - 10 bar, nominal volume, 32, cooling water requirement 60 l/h, power - 18 kwh, rpm range, dimension - 80cm x 85cm x 190cm",unit,"12,13, and 15",
213,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Automatic semen tube packaging equipment,Automatic Semen Tube Packaging Equipment,Semi-automatic semen tube packaging machine; 0.25 mL straw capacity,pcs,16,
214,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Portable and stationary semen storage units,Portable and Stationary Semen Storage Units,"stationary: Preset temperature at 17o Celsius
2.5 cu ft
Dimensions: 19"""" W, 35"""" H, 20"""" D
Capacity: holds 100 semen tubes",pcs,16,
215,1,Supplies and Materials,Supplies and Materials,Artificial Insemination kit,Artificial Insemination Kit,"Complete AI kit; gloves, catheters, forceps, thermometer, accessories",pcs,16,
216,1,Supplies and Materials,Supplies and Materials,Semen plastic bottle with cap,Semen Plastic Bottle with Cap,Plastic semen bottles with caps; veterinary-grade,pcs,16,
217,1,ICT Equipment,ICT Equipment,A.I. Equipment for Poultry,A.I. Equipment for Poultry,Poultry artificial insemination equipment set,set,16,
218,1,,ICT Equipment,A.I. Equipment for Small and Large Ruminants,A.I. Equipment for Small and Large Ruminants,"AI equipment set for goats, sheep, and cattle",pcs,16,
219,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Eggshell Tester,Eggshell Tester,Egg shell strength or thickness tester,unit,16,
220,1,,Technical and Scientific Equipment,Egg Incubator,Egg Incubator,"Automatic egg incubator; digital temperature control
uni",unit,16,
221,1,,Technical and Scientific Equipment,A.I. Equipment for Swine,A.I. Equipment for Swine,Swine artificial insemination equipment set,pcs,16,
222,1,Agricultural and Forestry Equipment,Agricultural and Forestry Equipment,Chicken Plucker,Chicken Plucker,Electric chicken plucker; rubber fingers; stainless body,unit,16,
223,1,Other Equipment,Other Equipment,Best Tank,Best Tank,"Food-grade tank; approx. 1,000-liter capacity",tank,16,
